구분,2017년 7월,2017년 8월,2017년 9월,2017년 10월,2017년 11월,2017년 12월,2018년 1월,2018년 2월,2018년 3월,2018년 4월,2018년 5월,2018년 6월,2018년 7월,2018년 8월,2018년 9월,2018년 10월,2018년 11월,2018년 12월,2019년 1월,2019년 2월,2019년 3월,2019년 4월,2019년 5월,2019년 6월,2019년 7월,2019년 8월,2019년 9월,2019년 10월,2019년 11월,2019년 12월,2020년 1월,2020년2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월,2021년12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년8월,2022년9월,2022년10월,2022년11월,2022년12월,2023년 1월,2023년 2월,2023년 3월
에틸렌 전년동기대비 증가율 (%),1.1,-2,-3.2,1,14.5,17.4,8.5,6.7,5.2,,1.8,1.9,-4.5,7.6,7.5,-0.5,3.5,0.9,-6.2,-0.1,,7.5,9.5,14.6,11.9,3.6,1.8,0.2,4.2,18.9,14.6,,-1.4,-1.4,-2.7,-4.3,3,8.6,12.6,16.5,11.6,11.3,,0,27.8,19,23.7,31.1,23.5,15.3,9.3,4,2.7,2.5,,0,-4.9,-1.3,2.9,-1.3,-9.1,-8.6,1.9,5.5,4.6,4.6,,,3.6
에틸렌 누계 증가율(%),-3.7,-3.3,-3.2,-2.6,-0.7,1,1.7,1.9,2.4,-1.5,-0.4,0.2,-0.7,0.5,1.4,1.2,2,1.9,1.3,1,8.9,8.4,8.7,9.8,9.8,9.3,7.9,7.6,7,9.3,9.4,5.6,1.3,0.7,0,-0.8,-1,0.1,1.6,2.8,3.3,4.9,,26.7,28.6,26.2,25.7,26.6,26.5,25,23.1,20.8,19.7,18.3,,3.9,0.9,0.3,2,1.4,-1.4,-2.3,-2.6,-1.8,-1.5,-1,,-1.7,-0.1
플라스틱원료 당월 (만 톤),708.4,711.4,736.1,714,733.2,764.3,731.3,728.5,752.2,,751.4,707.2,697.5,679.5,701.6,706.4,721.8,735,715.4,760.1,,790.2,759.4,756.5,759.6,779.3,771,797.4,822.9,827.2,883.3,,839,828.1,842.1,848.8,828.7,877.4,895.2,920.3,932.8,946.3,,0,969.5,905.5,920.6,932.7,900.5,906.3,877.8,906.2,942.6,978.7,,0,991.9,900.6,953.9,940.5,893.7,894.4,961.9,966,978.6,1012.9,,,1026.9
플라스틱원료 당월 (누계 만톤),2833.9,3537.1,4270.6,4995,5728.5,6473.5,7144.2,7818,8377.8,1320.1,2089.6,2798.7,3472,4146.7,4899.3,5645.1,6350.6,7081.3,7786.3,8558,1417.4,2214.3,2996,3785.7,4557.3,5450.8,6281.2,7061.4,7881.3,8666.1,9574.1,1436,2270.9,3114.7,3962.4,4815.9,5618.1,6495,7439.5,8353.4,9348.1,10355.3,,1817.4,2729.7,3664.9,4580.9,5492,6397.8,7305,8171.8,9083.7,10097.8,11039.1,,1845.2,2850.3,3741.7,4690.8,5627,6478.2,7378,8406.3,9373.1,10348.6,11366.9,,1860.7,2842
플라스틱원료 전년동기대비 증가율 (%),4.5,1.7,5.1,2.6,8,14.1,0.8,2,3.6,,5.8,6.6,6.6,3.2,6.8,3,3.5,5.3,1.6,2.6,,7,7.5,5.8,10,7.2,5.7,6,7.4,11.3,12.2,,1.2,3.7,7.9,7.7,5.1,13.1,12.3,11.7,11.6,6.3,,0,14.5,6,5.8,8,5.3,0.4,-4.7,-3.9,0,3,,0,0.1,-1.5,2.1,-0.6,-1.4,-2.6,7.7,4.7,2.4,1.2,,,4.2
플라스틱원료 누계 증가율(%),4.9,3.9,4.3,4.2,4.7,6,5.2,4.9,4.5,2,3.4,4.7,4.5,4.8,6.6,6.9,5.7,5.7,5,4.2,5.4,6.5,7.5,6.6,7.4,7.5,8.4,7.5,7.6,7.9,9.3,-3.8,-1.5,-1.3,1.8,2.8,2.7,3.7,4.8,5.5,6.6,7,,26,19.3,12.7,13.1,12.3,11.2,9.6,8.1,6.9,6.4,5.8,,3.5,2.2,1.3,1.3,1,0.7,0.6,1.6,1.8,1.6,1.5,,0.9,0.4
플라스틱제품 당월 (만 톤),647.2,674.6,748.1,689.5,710,726.8,700.4,709.5,706.7,,558.3,571.2,569.4,590.8,538,529.8,541.3,519.3,540,612.3,,540.4,489.3,621,633.1,758,742.5,679.7,656.5,691.1,761.5,,784.5,611.8,669,654.8,681.6,656.6,708.1,686.6,790.3,774.8,,0,723,706.9,694.5,721.3,677.5,680.8,690.1,683.6,731.6,795.2,,0,787.8,661.6,688.8,699.6,642.2,644.1,692,668.5,697.8,718.3,,,732.9
플라스틱제품 당월 (누계 만톤),2385.8,3047,3812.4,4530,5261.6,6052,6510.7,7012.3,7515.5,1395.2,1512.1,2044.5,2605.8,3158.3,3560.2,4032.4,4519.3,4926.3,5435.5,6042.1,957,1400.4,1852.8,2886.5,3238.4,5321.4,6066.9,5993.6,6595.7,7199.5,8184.2,788.4,1514.6,1906.4,2755.4,3176.8,3976.5,4612.6,5298.9,6075.7,7161.4,7603.2,,1126.9,1783,2473.5,3141.5,3883.5,4605.6,5227,5881.1,6521.5,7205.3,8004,,1186.3,1926.3,2501.1,3163.7,3821.5,4443.2,5054.7,5760.7,6400.6,7083.3,7771.6,,1116.8,1838.6
플라스틱제품 전년동기대비 증가율 (%),0.9,3,2.9,2,5.2,2.8,2.4,3.1,2.2,,0.7,5,1.9,-3.3,1.1,-0.4,-1,-0.9,-3.8,6.8,,9.3,-3.9,1.1,8.8,5.1,2.1,4.5,2.2,1.7,-1.1,,6.1,6.1,9.2,-4.8,-2.6,-3,7.3,3.6,1,0.3,,0,18,9.5,7.1,6.1,-1,1.5,-4.1,-1.1,-1.2,2.4,,0,6.3,-9,-3.9,-4.9,-6.7,-6.9,-2,-3.7,-6.1,-10.5,,,-2.1
플라스틱제품 누계 증가율(%),4.7,3.8,4.4,3.7,4.4,5.6,4.2,4.1,3.4,-4.2,2.1,2.3,2.6,1.6,2.2,1.1,0.3,-0.6,0,1.1,-7.6,3.5,0.7,-1.2,2.6,7.2,8.1,4.1,4.6,2.5,3.9,-25.5,-22.9,-14.3,-4.2,-9.6,-15.7,-13.3,-7.8,-6.2,-5.3,-6.4,,39.3,32.4,25,20.1,18.2,14.5,11.4,9.3,8.9,5.9,5.9,,2.2,5,-1.1,-2,-3.2,-4.1,-4.9,-4.2,-4.2,-3.9,-4.3,,-7.4,-2.6
선철 당월 (만 톤),6257.7,6173.3,6167.8,6207.4,6260.8,5959.9,6001.5,5488.3,5472.3,,6045.5,6310.6,6688.6,6587.9,6751.5,6665.5,6637.7,6773.6,6372.6,6320.1,,6615.2,6983.4,7219,7013.9,6831.4,7117.4,6730.6,6558.2,6477.1,6706.3,,6697.2,7202.1,7731.5,7663.5,7818.3,7854.6,7578.3,7617.1,7200.5,7421.5,,0,7474.5,7597.2,7815,7578.2,7284.9,7153.4,6518.7,6302.7,6173,7209.5,,0,7159.8,7677.8,8048.9,7687.5,7048.6,7137.4,7393.9,7082.9,6798.6,6899.8,,,7806.8
선철 당월 (누계 만톤),23821.4,30047.2,36255.6,42420.2,48670.4,54614.1,60296.5,65614.3,71075.9,11331.2,17500.4,23878,30558.6,37279.9,44179.4,51227,57860.4,64506.4,70784.9,77105.4,12659,19490.1,26264.5,33534.7,40421.4,47344.4,54471,61202.8,67518.2,73893.9,80936.5,13233.5,19973.7,27798.7,35598.6,43268.1,51085.9,58940.2,66547.8,74169.9,81290,88752.4,,14475.2,22097.1,30664.3,37989.7,45637.6,53350.2,60538.3,67106.7,73406.5,79623,86856.8,,13213.1,20090.5,28030.1,36086.8,43892.7,51089.7,58217.1,65610.4,72689.2,79505.7,86382.8,,14426.1,21983.2
선철 전년동기대비 증가율 (%),5.4,-0.1,2.2,5.1,3.8,0,2.3,-3.5,-4.4,,-1.1,-0.4,4,3.8,4.2,0,4.4,7.3,9.9,9.4,,7.6,10.1,6.6,5.8,0.6,7.1,2.1,-2.7,2.1,6,,1.1,-1.2,2.4,4.1,8.8,5,6.9,9.4,4.7,5.4,,0,8.9,3.8,-0.2,-2.7,-8.9,-11.1,-16.1,-19.4,-16.6,-5.4,,0,-6.2,0,2,0.5,-3.6,-0.5,13,11.9,9.7,-4.6,,,7.3
선철 누계 증가율(%),4.2,3.3,3.4,3.5,3.6,3.2,2.7,2.3,1.8,-1.7,-1.2,-1.2,-0.6,0.5,1,0.8,1.2,1.7,2.4,3,9.8,9.3,9.6,8.9,7.9,6.7,6.9,6.3,5.4,5.1,5.3,3.1,2.4,1.3,1.5,2.2,3.2,3.4,3.8,4.3,4.2,4.3,,6.4,8,8.7,5.4,4,2.3,0.6,-1.3,-3.2,-4.2,-4.3,,-10.8,-11,-9.4,-5.9,-4.7,-4.5,-4.1,-2.5,-1.2,-0.4,-0.8,,7.3,7.6
조강 당월 (만 톤),7277.7,7225.9,7323.1,7402.1,7459.4,7182.7,7236.2,6615.1,6704.7,,7398,7669.8,8112.7,8019.6,8124.1,8032.6,8084.5,8255.2,7762.1,7612.1,,8032.6,8503.2,8909.1,8753.3,8522.3,8725.1,8277.3,8152.1,8028.7,8426.5,,7897.5,8503.3,9226.7,9157.9,9335.9,9484.5,9255.5,9220.2,8766,9125.2,,0,9402.1,9784.6,9945.4,9387.5,8679,8323.9,7375,7158.4,6931.3,8619.3,,0,8829.5,9277.5,9661.3,9073,8142.9,8386.8,8694.9,7975.9,7454.4,7788.9,,,9572.6
조강 당월 (누계 만톤),27387,34683.3,41974.5,49155.2,56640.5,63873.1,70950,76480.2,83172.8,13681.7,21215.2,28896.9,36985.9,45115.7,53284.6,61739.8,69942.4,78245.8,85737.2,92826.4,14958.1,23106.9,31496.1,40487.9,49216.9,57706.4,66486.9,74782.4,82921.5,90417.7,99634.2,15470.2,23445,31946.1,41175.1,49901.1,59317.4,68888.9,78159.3,87393.3,96115.8,105299.9,,17498.9,27104.2,37455.7,47310.3,56332.6,64933.3,73301.5,80588.5,87704.6,94635.9,103278.8,,15795.8,24337.6,33614.6,43501.6,52687.7,60928,69314.9,78083.3,86056.9,93511.3,101300.3,,16869.6,26155.6
조강 전년동기대비 증가율 (%),4.9,1.8,5.7,10.3,8.7,5.3,6.1,2.2,1.8,,4.5,4.8,8.9,7.5,7.2,2.7,7.5,9.1,10.8,8.2,,10,12.7,10,10,5,9.3,2.2,-0.6,4,11.6,,-1.7,0.2,4.2,4.5,9.1,8.4,10.9,12.7,8,7.7,,0,19.1,13.4,6.6,1.5,-8.4,-13.2,-21.2,-23.3,-22,-6.8,,0,-6.4,-5.2,-3.5,-3.3,-6.4,0.5,17.6,11,7.3,-9.8,,,6.9
조강 누계 증가율(%),4.6,4.4,4.6,5.1,5.6,6.3,6.1,5.7,5.7,5.9,5.4,5,5.4,6,6.3,5.8,6.1,6.4,6.7,6.6,9.2,9.9,10.1,10.2,9.9,9,9.1,8.4,7.4,7,8.3,3.1,1.2,1.3,1.9,1.4,2.8,3.7,4.5,5.5,5.5,5.2,,12.9,15.6,15.8,13.9,11.8,8,5.3,2,-0.7,-2.6,-3,,-10,-10.5,-10.3,-8.7,-6.5,-6.4,-5.7,-3.4,-2.2,-1.4,-2.1,,5.6,6.1
강재 당월 (만 톤),9489.8,9578.2,9756.9,9667,9676.3,9356.4,9178.5,8685.2,8778.9,,8976.5,9226.5,9707,9551.1,9569.1,9637.6,9675,9802.4,9423.6,9365,,9786.7,10205.2,10740.3,10709.9,10581.8,10638.9,10437.1,10263.6,10401.6,10432.9,,9888,10701.2,11452.7,11585.1,11688.5,11913.3,11806.3,11848.3,11734.4,12033.8,,0,11987.2,12127.5,12469.4,12072.3,11099.7,10880.4,10195.1,10173.7,10102.9,11354.8,,0,11688.7,11482.7,12261.1,11841.7,10624.2,10832.9,11618.8,11484.7,10918.6,11193.4,,,12724.7
강재 당월 (누계 만톤),35782.7,45367.5,55154.7,64855.7,74517.8,82986.3,90272.6,97298.2,104818.3,15902.8,24693.1,33734.1,43467.1,53085.2,62587.2,72526.5,82100.8,91843.9,101291.9,110551.6,17145.6,26906.6,37086.1,48036.4,58689.8,69776.2,80366.5,90930.6,101034.2,110473.5,120477.4,16712.6,26742.2,37438.9,48819.1,60583.6,72394.6,84468.8,96423.7,108328.1,120202.8,132489.2,,20952.6,32940.1,45252.5,57657.2,69831.4,80901.7,91833.2,102035,112234.7,122333,133666.8,,19671.1,31192.6,42682.4,54930.8,66714.4,77650,88464.7,100584.5,111638.9,122552.7,134033.5,,20622.5,33259.4
강재 전년동기대비 증가율 (%),0.5,-1.9,0.7,2.7,0.5,-1.8,-1.6,-2.9,-1.1,,4.2,8.5,10.8,7.2,8,6.4,9.8,11.5,11.3,9.1,,11.4,11.5,11.5,12.6,9.6,9.8,6.9,3.5,10.4,11.3,,-0.1,3.6,6.2,7.5,9.9,11.3,12.3,14.2,10.8,12.8,,0,20.9,12.5,7.9,3,-6.6,-10.1,-14.8,-14.9,-14.7,-5.2,,0,-3.2,-5.8,-2.3,-2.3,-5.2,-1.5,12.5,11.3,7.1,-2.6,,,8.1
강재 누계 증가율(%),1.7,0.8,1.1,1.1,1.2,1.2,1.1,1.1,0.8,4.6,4.7,5,6.2,6,6.6,7.1,7.2,7.8,8.3,8.5,10.7,10.8,11.1,11.2,11.4,11.2,11,10.6,9.8,10,9.8,-3.4,-1.6,-0.2,1.2,2.7,3.7,4.8,5.6,6.5,7,7.7,,23.6,22.5,20.1,16.8,13.9,10.5,7.3,4.6,2.8,1,0.6,,-6,-5.9,-5.9,-5.1,-4.6,-4.6,-4.3,-2.2,-1.4,-0.7,-0.8,,3.6,5.8
비철금속 당월 (만 톤),451,457.7,485.2,447.2,442,444.1,445.9,432.4,472.4,,455.4,453.9,455.3,461.5,462.4,453.5,456.3,452.2,471.3,507.6,,466.6,473.6,474,489.7,489.7,491,496.7,497.1,511,531,,482.8,492.7,498.3,508.2,507.5,528.6,532.4,544.7,549.2,574.6,,0,548.3,548.4,545,549,536.7,529.5,523.4,525.9,535.2,547.4,,0,563.5,553.1,564.4,569.7,562.8,573.6,578.3,585.2,588.1,594.6,,,627.6
비철금속 당월 (누계 만톤),1799.6,2263.3,2759.6,3201,3638.9,4072.9,4521.7,4933.8,5377.8,885.7,1338.5,1783.7,2220.4,2684.6,3136.3,3571.1,4027.2,4478.5,5043,5687.9,902.7,1369.9,1863.5,2340.9,2833.8,3365,3862.9,4346.6,4815.1,5331.3,5841.6,935.4,1417.2,1912.4,2413,2928.2,3459.7,3988.8,4517.5,5069,5632,6168,,1055.6,1604.7,2143,2695.1,3254.9,3786.6,4316.2,4842.1,5375.8,5910.7,6454.3,,1050.8,1617.3,2170,2724.8,3283.3,3829.6,4399.5,4982.8,5575.3,6180.8,6774.3,,1192,1826.3
비철금속 전년동기대비 증가율 (%),5,2.4,6.1,0,-2.2,-3.1,-3.3,-6.9,2.8,,3,3.1,4.3,1.9,8.5,5.7,5.8,5.5,12.7,10,,6.9,4.9,2.2,5.7,2.6,4.4,5.1,4.6,4,4.7,,1.6,3.8,4.1,3.1,3.3,6.9,7.3,9,6.1,8.6,,0,12.7,11.6,10.3,8,7.1,0.4,-1.6,-2.6,-0.7,-3.8,,0,3.1,0.3,3.3,3.2,4.8,6.7,8.8,10.1,8.8,7.3,,,6.9
비철금속 누계 증가율(%),8.1,6.9,7.2,6,4.9,4.1,3.4,2.5,3,1.9,2.4,2.3,3.2,3.1,3.9,3.8,4.2,4.4,6.1,6,6.2,6.3,5.2,4,4.3,4.3,4.6,4.5,4.6,3.9,3.5,2.2,2.1,2.6,2.7,2.9,3.1,3.3,3.5,4.3,4.6,5.5,,10.6,11.7,11.5,11.6,11,10.5,9.1,7.9,7,6.3,5.4,,-0.5,0.9,0.7,0.9,1,1.4,1.9,2.8,3.3,4.2,4.3,,9.8,9
금속절삭기계 당월 (만 대),7.2,7,7.4,6.3,6.8,6.8,6.7,6.3,5.8,,5,5.6,5.2,4.7,4.3,4.2,4.3,3.7,3.8,3.8,,5,3.6,3.8,4.3,3.8,3.7,3.7,3.2,3.3,3.6,,3.6,3.9,4.1,4.5,3.9,3.8,4.1,4,4.4,4.9,,0,6,5.9,5.8,5.7,5.1,4.8,4.8,4.4,4.8,5.5,,0,5.8,4.7,5,5.3,4.6,4.5,4.4,4.3,4.6,5.3,,,6.3
금속절삭기계 당월 (누계 만대),25.6,32.8,39.9,42.4,51,57.8,64.5,63.6,64.3,8.7,13.1,18.7,23.2,26.1,30,33.9,38.4,41,44.8,48.9,8.2,12.1,14.5,19.1,23.9,27.9,31,33.7,34.9,37.6,41.6,3.6,7.2,11.3,15.5,20.5,24,28,32,36,40.3,44.6,,7.6,14.4,20.5,25.3,29.7,34.9,39.8,50.1,49.2,54.3,60.2,,8.9,13.5,18.2,23.2,29,33.1,37.5,41.6,47.1,52,57.2,,7.5,13.8
금속절삭기계 전년동기대비 증가율 (%),12.5,16.7,7.2,6.8,7.9,3,6.3,10.5,11.5,,-2,12,6.1,-2.1,2.4,-2.3,0,-9.8,-15.6,-17.4,,-5.7,-25,-17.4,-14,-17.4,-21.3,-17.8,-13.5,-13.2,-14.3,,-21.7,11.4,17.1,15.4,14.7,11.8,20.6,29,25.7,32.4,,0,42.9,37.2,31.8,29.5,27.5,23.1,2.1,4.8,2.1,5.8,,0,3.6,-19,-18,-11.7,-14.8,-13.5,-12,-8.5,-13.2,-11.7,,,0
금속절삭기계 누계 증가율(%),5.8,10.1,8.7,5.2,7.8,7.4,7.3,7.3,6.8,6.1,3.1,6.3,5.5,6.1,7.1,5,4.6,0.7,0.2,0.4,0,-6.9,-7.1,-9,-10.5,-11.7,-16.7,-16.2,-16.9,-17.7,-18.8,-44.6,-29.4,-19.9,-14.8,-7.7,-9.1,-6.7,-2.7,0.6,4.1,5.9,,85.4,67.4,57.7,48.8,45.6,44.2,40.6,38.4,31.9,29.9,29.2,,7.2,1.5,-5.2,-8.7,-7.3,-10.1,-10.5,-11.1,-12.5,-12.5,-13.1,,-11.8,-6.8
소형트랙터 당월 (만 대),10.2,9.4,9.5,7.4,9.1,10,10.8,11.4,9.3,,4.5,4.4,4.6,4.7,3.3,3.5,3.8,3,3,2.5,,3.1,2.9,2.7,3,2.2,2.9,3,3.1,3.5,4.6,,1.5,1.7,1.5,1.6,1.7,1.3,1.6,2.4,1.9,1.9,,0,1.9,1.9,1.6,1.7,1.2,1.3,1.2,1.4,1.6,1.7,,0,1.9,1.4,1.3,1.4,1.3,1.3,1.3,1.5,1.6,1.4,,,2.2
소형트랙터 당월 (누계 만대),41.1,50.5,60.1,67.5,76.6,86.8,97.5,102.2,99.6,7.6,11.9,15.6,20.2,24.9,28.2,31.7,35.5,30.4,33.4,32.8,4.7,7.8,10.7,13.4,16.4,19.3,20.8,23.7,26.9,30.3,34,1.6,3.2,4.9,6.4,7.8,9.3,10.6,12.4,18.7,15.9,17.8,,2.6,4.5,6.4,8,9.7,10.9,12.2,13.5,15.5,17.1,18.7,,2.4,4.4,5.8,7.2,8.6,9.8,11.1,12.4,13.9,15.5,17,,2.9,5.1
소형트랙터 전년동기대비 증가율 (%),-8.9,-10.5,-6.9,-25.3,-9.9,-16,-13.6,-4.2,-9.7,,-40,-34.3,-29.2,-14.5,-32.7,-30,-19.1,-25,-31.8,-32.4,,-24.4,-31,-38.6,-30.2,-31.3,-12.1,-18.9,6.9,20.7,76.9,,-34.8,-19,-16.7,-27.3,13.3,-13.3,0,-20,-42.4,-59.6,,0,11.8,5.6,14.3,13.3,-29.4,0,-29.4,-6.7,-11.1,-10.5,,0,-9.5,-30,-23.5,-22.2,8.3,-7.1,0,0,0,-17.6,,,29.4
소형트랙터 누계 증가율(%),-8.1,-8.5,-8.1,-10.4,-9.9,-10.5,-10.9,-10.9,-13.2,-34.5,-37.4,-35.8,-34.2,-31.2,-31.1,-30.8,-29.7,-32.6,-32.7,-34,-27.7,-25.7,-27.2,-30.2,-30.2,-29.6,-30.4,-29.9,-26.7,-3.8,3,-48.4,-39.6,-33.8,-30.4,-29.7,-27.9,-25.9,-22.5,-27.2,-45.2,-47.2,,73.3,45.2,30.6,29,27.6,16,15.1,8,6.9,4.3,2.2,,-14.3,-12,-17.1,-16.3,-17.3,-15.5,-14.6,-13.9,-12.6,-11.4,-11.5,,26.1,27.5
대기오염방지설비 당월 (만 대),36538,47882,50951,45757,40713,41399,33842,28810,40342,,29361,28414,33747,36842,29632,23676,20795,22617,23720,25808,,27921,23657,40142,27414,31770,33309,32047,31651,37268,30362,,24256,27823.2,26229,31962,27839,28112,30702,23883,43322,34292,,0,43637,41964,37865,37389,34570,36489.4,37007,34115,40829,47263.3,,0,58452,59125,30485.1,36774,32549.3,53049.6,40174,39240,50512.3,63269,,,44434
