store_name,gu,type_of_business,carwash_type,address,start_work,end_work,tel_no,latitude,longtitude
㈜에스에스모터스 논현주유소 지점,강남구,주유소,자동세차,  강남구 논현로 747(논현동),9:00,18:00,02-511-0955,37.5185309,127.0282527
주성에너지서비스,강남구,주유소,자동세차,  강남구 언주로 716(논현동),9:00,18:00,02-518-5631,37.51766757,127.0358483
대성석유(주)동호주유소,강남구,주유소,자동세차,  강남구 봉은사로113길 51(삼성동),9:00,18:00,02-545-0720,37.5185435,127.0646757
대치북부점 현대자동차㈜,강남구,세차,손세차,  강남구 선릉로 336(대치동),9:00,18:00,02-567-6900,37.49977854,127.0517137
대치에너지㈜,강남구,충전소,자동세차,  강남구 남부순환로 3179(대치동),9:00,18:00,02-3412-2828,37.4994578,127.0781642
가자가자(GO GO),강남구,세차,손세차,  강남구 도산대로25길 28(신사동),9:00,18:00,02-549-1002,37.52154066,127.026819
도곡세차장,강남구,주유소,자동+손세차,  강남구 도곡로 162(도곡동),9:00,18:00,02-2058-3024,37.4910429,127.0377014
도곡점현대자동차,강남구,세차,손세차,  강남구 도곡로 158(도곡동),9:00,18:00,02-3463-1988,37.4910658,127.0372485
동일세차장,강남구,세차,손세차,  강남구 선릉로152길 16(청담동),9:00,18:00,02-544-5835,37.524045,127.0407781
드림모터스세차장,강남구,세차,손세차,  강남구 역삼로 439(대치동),9:00,18:00,02-567-5678,37.50219541,127.0548818
플럭스,강남구,세차,손세차,  강남구 개포로22길 34(개포동),9:00,18:00,02-571-1102,37.4768766,127.0489633
르노삼성자동차지정정비코너선릉점,강남구,세차,손세차,  강남구 봉은사로68길 69(삼성동),9:00,18:00,02-553-0044,37.50829043,127.0535493
명성카세차장,강남구,세차,손세차,  강남구 논현로6길 12(개포동),9:00,18:00,02-3461-3381,37.4732377,127.0506237
배트 케이브(BAT CAVE) 대치본점,강남구,세차,손세차,"  강남구 삼성로64길 45, 101호(대치동)",9:00,18:00,02-555-4284,37.5009517,127.063975
배트케이브 역삼직영점,강남구,세차,손세차,  강남구 언주로69길 12(역삼동 1층),9:00,18:00,070-8805-1185,37.49652348,127.0443879
보람카센타,강남구,세차,손세차,  강남구 남부순환로363길 12-10(도곡동),9:00,18:00,02-3462-5871,37.4862227,127.0387365
강남논현점현대자동차,강남구,세차,손세차,  강남구 논현로150길 21(논현동),9:00,18:00,02-568-1420,37.5196901,127.0301713
비자인터내셔날㈜ 학여울주유소,강남구,주유소,자동세차,  강남구 남부순환로 3170(대치동),9:00,18:00,02-3411-3272,37.49844892,127.0775177
삼성로주유소,강남구,주유소,자동세차,  강남구 삼성로 563(삼성동),9:00,18:00,02-538-5138,37.5118849,127.0535929
삼성점 기아오토큐,강남구,세차,손세차,  강남구 봉은사로 441(삼성동),9:00,18:00,02-515-8840,37.5117942,127.0480383
삼희세차,강남구,주유소,자동세차,  강남구 언주로 842(신사동),9:00,18:00,02-545-6161,37.5253697,127.0338026
새천상사,강남구,세차,손세차,  강남구 봉은사로68길 73(삼성동),9:00,18:00,02-568-5608,37.5080342,127.0536849
서광주유소,강남구,주유소,자동세차,  강남구 역삼로 142(역삼동),9:00,18:00,02-562-4855,37.4943769,127.0350643
서광카세차장,강남구,세차,손세차,  강남구 도산대로 418(청담동),9:00,18:00,02-544-1942,37.5229476,127.0413208
서울자동차서비스,강남구,세차,손세차,  강남구 선릉로93길 46(역삼동),9:00,18:00,02-564-5151,37.5044249,127.0449806
성수모터스,강남구,세차,손세차,  강남구 논현로 152길 29(신사동),9:00,18:00,02-514-8940,37.52162627,127.0304797
세계오토메틱,강남구,세차,손세차,  강남구 논현로79길 19(역삼동),9:00,18:00,02-564-7601,37.4974015,127.0365991
신사모터스,강남구,세차,손세차,  강남구 도산대로25길 24(신사동),9:00,18:00,02-549-1224,37.5213463,127.0270905
신사점현대자동차,강남구,세차,손세차,  강남구 압구정로4길 14(신사동),9:00,18:00,02-515-8161,37.5217723,127.0201274
씨엠씨모터스(강남점),강남구,세차,손세차,  강남구 강남대로78길 26(역삼동),9:00,18:00,070-4212-7981,37.49525179,127.0314993
아성카랜드,강남구,세차,손세차,  강남구 언주로 809(신사동),10:00,18:00,02-518-4705,37.5225725,127.0328828
역삼주유소㈜,강남구,주유소,자동세차,  강남구 역삼로 205(역삼동),10:00,18:00,02-557-5189,37.4963738,127.0396111
애니카랜드 논현점,강남구,세차,손세차,  강남구 도산대로30길 3(논현동),10:00,18:00,02-542-4656,37.5196368,127.0293884
에스제이에너지㈜개포주유소,강남구,주유소,자동세차,  강남구 양재대로 339(개포동),10:00,18:00,02-573-9031,37.4723703,127.0517209
에쓰-오일(주)개나리주유소,강남구,주유소,자동세차,  강남구 언주로 423(역삼동),10:00,18:00,02-564-0187,37.50080194,127.0430988
에이티디(ATD),강남구,세차,손세차,"  강남구 언주로 63길 16, 1층(역삼동)",10:00,18:00,02-565-8844,37.4945839,127.0449992
엘앤티렉서스㈜,강남구,세차,손세차,  강남구 영동대로 312(대치동),10:00,18:00,02-2188-3561,37.5023449,127.0674454
카에이드,서초구,세차장,손세차,  서초구 남부순환로 323길 30(서초동),9:00,18:00,02-872-6049,37.4822868,127.0138206
배트케이브 서초손세차,서초구,세차장,손세차,"  서초구 신반포로 317, B1층 (잠원동)",9:00,18:00,02-842-5635,37.5105345,127.0184463
모토탑,서초구,세차장,손세차,  서초구 동광로 27(방배동),9:00,18:00,02-872-1072,37.491097,126.985788
코오롱글로벌㈜ 교대센터,서초구,정비업소,손세차,  서초구 효령로53길 62(서초동),9:00,18:00,02-876-5189,37.4875295,127.0132677
㈜오토매니저,서초구,정비업소,손세차,  서초구 바우뫼로 217 (양재동),9:00,18:00,02-844-3377,37.4813599,127.0420037
쌍용자동차 양재서비스프라자,서초구,정비업소,손세차,  서초구 동산로13길 30-2 (양재동),9:00,18:00,02-846-202,37.4729452,127.0446333
한신세차장,서초구,세차장,손세차,  서초구 방배중앙로 72 (방배동),9:00,18:00,02-844-8200,37.4861062,126.990302
스페이스카세차장,서초구,세차장,손세차,  서초구 효령로49길 68 (서초동),9:00,18:00,02-821-5151,37.4868763,127.0093699
주식회사 오카,서초구,세차장,손세차,  서초구 남부순환로296길 4-16 (방배동),9:00,18:00,02-848-5005,37.4736166,126.991235
태성상사세차장,서초구,세차장,손세차,  서초구 효령로 416 (서초동),9:00,18:00,02-875-5151,37.488577,127.0293774
일호자동차,서초구,정비업소,손세차,  서초구 사평대로 333-18,9:00,18:00,02-879-8484,37.5040006,127.0193047
㈜에프엠케이,서초구,정비업소,손세차,  서초구 반포대로 235 (반포동),9:00,18:00,02-875-5189,37.5006686,127.002572
에코스디테일,서초구,세차장,손세차,"  서초구 서초중앙로8길 115,1층(서초동,우신빌딩)",9:00,18:00,02-840-5151,37.4872769,127.0219074
양재현대서비스㈜,서초구,정비업소,손세차,  서초구 남부순환로342길 100-9,9:00,18:00,02-876-6391,37.4759087,127.0277999
㈜몬스터팩토리,서초구,세차장,손세차,  서초구 효령로 47 (방배동),9:00,18:00,02-879-5189,37.479023,126.9894383
㈜홈런주유소,서초구,주유소,자동세차,  서초구 양재대로2길 100-30(우면동),9:00,18:00,02-877-5477,37.4572806,127.016192
더클래스효성㈜ 서초동지점,서초구,정비업소,손세차,  서초구 효령로55길 65(서초동),9:00,18:00,02-841-7711,37.487643,127.0136584
㈜한독모터스 서초중앙서비스센터,서초구,정비업소,손세차,  서초구 효령로55길 45-13 (서초동),9:00,18:00,02-871-0295,37.4866502,127.0135901
준모터스,서초구,세차장,손세차,  서초구 바우뫼로37길 17 (양재동),9:00,18:00,02-871-7697,37.4795085,127.0393632
덴트닥터,서초구,세차장,손세차,  서초구 반포대로12길 6 (서초동),9:00,18:00,02-877-2961,37.4845901,127.0117433
강남 모터폴리쉬,서초구,세차장,손세차,  서초구 마방로 16 (양재동),9:00,18:00,02-879-002,37.4741765,127.0406695
위드모터스,서초구,세차장,손세차,  서초구 명달로 36-1 (서초동),9:00,18:00,02-552-502,37.4807959,127.0056137
지쓰리(G3)카케어,서초구,세차장,손세차,"  서초구 명달로 101, 1층 (서초동)",9:00,18:00,02-552-6437,37.4864013,127.0038871
애니카랜드 서초중앙점,서초구,정비업소,손세차,  서초구 바우뫼로41길 59 (양재동),9:00,18:00,02-552-2335,37.483064,127.0400569
디엠세븐디테일링,서초구,세차장,손세차,  서초구 명달로 52-7 (서초동),9:00,18:00,02-553-6280,37.4823541,127.0052459
디앤에스팩토리(D&S Factory) 이수점,서초구,세차장,손세차,"  서초구 방배중앙로21길 54, 1층 (방배동,성원빌딩)",9:00,18:00,02-582-8999,37.4919836,126.9836008
내곡에스티엔(STN),서초구,주유소,자동세차,  서초구 헌릉로 210 (내곡동),9:00,18:00,02-552-8681,37.4553143,127.0628187
현대오일뱅크㈜ 직영 양재현대주유소,서초구,주유소,자동세차,  서초구 마방로 6 (양재동),9:00,18:00,02-552-4025,37.473563,127.0397074
오토테크,서초구,주유소,자동세차,  서초구 효령로 356 (서초동),9:00,18:00,02-581-8131,37.486491,127.0230852
현대오일뱅크㈜ 직영방배현대주유소,서초구,주유소,자동세차,  서초구 동작대로 182 (방배동),9:00,18:00,02-552-5227,37.4927683,126.9833262
카랜드,서초구,정비업소,손세차,  서초구 서초대로 78 (방배동),9:00,18:00,02-581-6176,37.4866098,126.9908824
쌍용자동차 방배서비스프라자,서초구,정비업소,손세차,  서초구 서초대로 72 (방배동),9:00,18:00,02-552-2231,37.4864042,126.9902947
내방자동차공업사,서초구,정비업소,손세차,  서초구 서초대로 45 (방배동),9:00,18:00,02-581-0017,37.4862512,126.9874025
서초중부점 현대자동차,서초구,정비업소,손세차,  서초구 효령로 348 (서초동),9:00,18:00,02-553-5151,37.4862825,127.0221891
서초서부점 현대자동차,서초구,정비업소,손세차,  서초구 서운로 14 (서초동),10:00,18:00,02-552-9250,37.4854035,127.0297919
양재동부점 현대자동차,서초구,정비업소,손세차,  서초구 바우뫼로 187 (양재동),10:00,18:00,02-581-8939,37.4793016,127.0401002
오토케어,서초구,정비업소,손세차,  서초구 바우뫼로 202 (양재동),10:00,18:00,02-641-7177,37.4799819,127.0416722
대국세차장,서초구,정비업소,손세차,  서초구 사평대로 102 (반포동),10:00,18:00,02-649-3200,37.4987712,126.9957928
양재점 현대자동차,서초구,정비업소,손세차,  서초구 매헌로 50 (양재동),10:00,18:00,02-649-3811,37.465295,127.0345293
㈜선문에너지(중앙주유소),서초구,주유소,자동세차,  서초구 바우뫼로 219 (양재동),10:00,18:00,02-642-5161,37.4815752,127.0422394
삼성카크리닉,서초구,주유소,자동세차,  서초구 효령로 19 (방배동),10:00,18:00,02-643-9846,37.4776687,126.9869434
대신석유㈜ 서원주유소,서초구,주유소,자동세차,  서초구 반포대로 142 (서초동),9:00,18:00,02-803-9441,37.4927546,127.007577
오토하우스,서초구,정비업소,손세차,  서초구 효령로 169 (서초동),9:00,18:00,02-808-6502,37.4826793,127.0026043
대성산업㈜ 터미널주유소,서초구,주유소,자동세차,  서초구 신반포로 222 (반포동),9:00,18:00,02-568-8951,37.5069117,127.0087506
대성석유㈜ 연일주유소,서초구,주유소,자동세차,  서초구 남부순환로 2451 (서초동),9:00,18:00,02-581-3127,37.4826019,127.0185804
현대오일뱅크㈜직영 사평로주유소,서초구,주유소,자동세차,  서초구 사평대로 350 (서초동),9:00,18:00,02-585-028,37.502894,127.0215252
현대오일뱅크㈜직영 사평로주유소,서초구,주유소,자동세차,  서초구 사평대로 350 (서초동),9:00,18:00,02-585-028,37.502894,127.0215252
